Número|Título|Año|Director(es)|Productor(es)|Protagonista(s)|
1|Iron Man|2008|Jon Favreau|Avi Arad, Kevin Feige|Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Shaun Toub, Paul Bettany, Jeff Bridges|
2|The Incredible Hulk|2008|Louis Leterrier|Avi Arad, Gale Anne Hurd, Kevin Feige|Edward Norton, Liv Tyler, Tim Roth, Tim Blake Nelson, Ty Burrell, William Hurt|
3|Iron Man 2|2010|Jon Favreau|Kevin Feige|Robert Downey Junior, Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Paul Bettany, Mickey Rourke, Samuel L. Jackson|
4|Thor|2011|Kenneth Branagh|Kevin Feige|Chris Hemsworth, Tom Hiddleston, Natalie Portman, Stellan Skarsgard, Idris Elba, Jaimie Alexander, Colm Feore, Rene Russo, Anthony Hopkins, Jeremy Renner|
5|Capitán América: el primer vengador|2011|Joe Johnston|Kevin Feige|Chris Evans, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Neal McDonough, Stanley Tucci, Tommy Lee Jones|
6|The Avengers|2012|Joss Whedon|Kevin Feige|Robert Dawney Jr., Chris Evans, Jeremy Renner, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgard, Samuel L. Jackson|
7|Iron Man 3|2013|Shane Black|Kevin Feige|Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Stéphanie Szostak, James Badge Dale, Jon Favreau, Ben Kingsley|
8|Ant-Man and the Wasp|2018|Peyton Reed|Kevin Feige, Stephen Broussard|Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, Tip "T.I." Harris, David Dastmalchian, Hannah John-Kamen, Abby Ryder Fortson, Randall Park, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas|
9|Thor: The Dark World|2013|Alan Taylor|Kevin Feige|Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgard, Idris Elba, Christopher Eccleston, Adewale Akinnuoye-Agbaje, Kat Dennings, Ray Stevenson, Zachary Levi, Tadanobu Asano, Jaimie Alexander, Rene Russo|
10|Captain America: The Winter Soldier|2014|Anthony Russo, Joe Russo|Kevin Feige|Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo, Emily VanCamp, Hayley Atwell, Robert Redford, Samuel L. Jackson|
