longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.050.000,37.370.000,27.000.000,3.885.000.000,661.000.000,1.537.000.000,606.000.000,6.608.500,344.700.000.000
-118.300.000,34.260.000,43.000.000,1.510.000.000,310.000.000,809.000.000,277.000.000,3.599.000,176.500.000.000
-117.810.000,33.780.000,27.000.000,3.589.000.000,507.000.000,1.484.000.000,495.000.000,5.793.400,270.500.000.000
-118.360.000,33.820.000,28.000.000,67.000.000,15.000.000,49.000.000,11.000.000,6.135.900,330.000.000.000
-119.670.000,36.330.000,19.000.000,1.241.000.000,244.000.000,850.000.000,237.000.000,2.937.500,81.700.000.000
-119.560.000,36.510.000,37.000.000,1.018.000.000,213.000.000,663.000.000,204.000.000,1.663.500,67.000.000.000
-121.430.000,38.630.000,43.000.000,1.009.000.000,225.000.000,604.000.000,218.000.000,1.664.100,67.000.000.000
-120.650.000,35.480.000,19.000.000,2.310.000.000,471.000.000,1.341.000.000,441.000.000,3.225.000,166.900.000.000
-122.840.000,38.400.000,15.000.000,3.080.000.000,617.000.000,1.446.000.000,599.000.000,3.669.600,194.400.000.000
-118.020.000,34.080.000,31.000.000,2.402.000.000,632.000.000,2.830.000.000,603.000.000,2.333.300,164.200.000.000
-118.240.000,33.980.000,45.000.000,972.000.000,249.000.000,1.288.000.000,261.000.000,2.205.400,125.000.000.000
-119.120.000,35.850.000,37.000.000,736.000.000,166.000.000,564.000.000,138.000.000,2.416.700,58.300.000.000
-121.930.000,37.250.000,36.000.000,1.089.000.000,182.000.000,535.000.000,170.000.000,4.690.000,252.600.000.000
-117.030.000,32.970.000,16.000.000,3.936.000.000,694.000.000,1.935.000.000,659.000.000,4.562.500,231.200.000.000
-117.970.000,33.730.000,27.000.000,2.097.000.000,325.000.000,1.217.000.000,331.000.000,5.712.100,222.500.000.000
-117.990.000,33.810.000,42.000.000,161.000.000,40.000.000,157.000.000,50.000.000,2.200.000,153.100.000.000
-120.810.000,37.530.000,15.000.000,570.000.000,123.000.000,189.000.000,107.000.000,1.875.000,181.300.000.000
-121.200.000,38.690.000,26.000.000,3.077.000.000,607.000.000,1.603.000.000,595.000.000,2.717.400,137.500.000.000
-118.880.000,34.210.000,26.000.000,1.590.000.000,196.000.000,654.000.000,199.000.000,6.585.100,300.000.000.000
-122.590.000,38.010.000,35.000.000,8.814.000.000,1.307.000.000,3.450.000.000,1.258.000.000,6.172.400,414.300.000.000
-122.150.000,37.750.000,40.000.000,1.445.000.000,256.000.000,849.000.000,255.000.000,3.891.300,126.300.000.000
-121.370.000,38.680.000,36.000.000,1.775.000.000,296.000.000,937.000.000,305.000.000,3.178.600,83.400.000.000
-118.160.000,34.070.000,47.000.000,2.994.000.000,543.000.000,1.651.000.000,561.000.000,3.864.400,241.500.000.000
-122.200.000,37.790.000,45.000.000,2.021.000.000,528.000.000,1.410.000.000,480.000.000,2.778.800,115.400.000.000
-117.280.000,33.280.000,13.000.000,6.131.000.000,1.040.000.000,4.049.000.000,940.000.000,3.815.600,150.700.000.000
-118.030.000,34.160.000,36.000.000,1.401.000.000,218.000.000,667.000.000,225.000.000,7.161.500,484.700.000.000
-122.420.000,37.760.000,52.000.000,3.587.000.000,1.030.000.000,2.259.000.000,979.000.000,2.540.300,250.000.000.000
-118.390.000,33.990.000,32.000.000,2.612.000.000,418.000.000,1.030.000.000,402.000.000,6.603.000,369.200.000.000
-118.450.000,34.070.000,19.000.000,4.845.000.000,1.609.000.000,3.751.000.000,1.539.000.000,1.583.000,350.000.000.000
-118.480.000,34.010.000,30.000.000,3.078.000.000,954.000.000,1.561.000.000,901.000.000,3.485.200,425.000.000.000
-119.350.000,36.330.000,14.000.000,1.195.000.000,220.000.000,568.000.000,229.000.000,3.148.600,105.600.000.000
-118.300.000,33.910.000,34.000.000,1.617.000.000,493.000.000,1.530.000.000,500.000.000,2.618.200,172.600.000.000
-121.130.000,39.310.000,17.000.000,3.442.000.000,705.000.000,1.693.000.000,619.000.000,2.810.200,128.900.000.000
-118.080.000,34.550.000,5.000.000,16.181.000.000,2.971.000.000,8.152.000.000,2.651.000.000,4.523.700,141.800.000.000
-118.320.000,33.940.000,38.000.000,1.067.000.000,170.000.000,499.000.000,169.000.000,4.638.900,183.800.000.000
